#time,V
0,1.095
2.5e-09,1.095
2.6e-09,1.105
4.5e-09,1.105
4.6e-09,1.115
6.5e-09,1.115
6.6e-09,1.125
8.5e-09,1.125
8.6e-09,1.135
1.05e-08,1.135
1.06e-08,1.145
1.25e-08,1.145
1.26e-08,1.155
1.45e-08,1.155
1.46e-08,1.165
1.65e-08,1.165
1.66e-08,1.175
1.85e-08,1.175
1.86e-08,1.185
2.05e-08,1.185
2.06e-08,1.195
2.25e-08,1.195
2.26e-08,1.205
2.45e-08,1.205
2.46e-08,1.215
2.65e-08,1.215
2.66e-08,1.225
2.85e-08,1.225
2.86e-08,1.235
3.05e-08,1.235
3.06e-08,1.245
3.25e-08,1.245
3.26e-08,1.255
3.45e-08,1.255
3.46e-08,1.265
3.65e-08,1.265
3.66e-08,1.275
3.85e-08,1.275
3.86e-08,1.285
4.05e-08,1.285
4.06e-08,1.295
4.25e-08,1.035
4.26e-08,1.025
4.45e-08,1.025
4.46e-08,1.015
4.65e-08,1.015
4.66e-08,1.005
4.85e-08,1.005
4.86e-08,0.995
5.05e-08,0.995
5.06e-08,0.985
5.25e-08,0.985
5.26e-08,0.975
5.45e-08,0.975
5.46e-08,0.965
5.65e-08,0.965
5.66e-08,0.955
5.85e-08,0.955
5.86e-08,0.945
6.05e-08,0.945
6.06e-08,0.935
6.25e-08,0.935
6.26e-08,0.925
6.45e-08,0.925
6.46e-08,0.915
6.65e-08,0.915
6.66e-08,0.905
6.85e-08,0.905
6.86e-08,0.895
7.05e-08,0.895
7.06e-08,0.885
7.25e-08,0.885
7.26e-08,0.875
7.45e-08,0.875
7.46e-08,0.865
7.65e-08,0.865
7.66e-08,0.855
7.85e-08,0.855
7.86e-08,0.845
8.05e-08,0.845
8.06e-08,0.835
